yi	windows-1255	win:	ng	ng:	0.97	ced:	0.87	chardet:	0.86	icu:	0.30
lt	ISO-8859-4	win:	ng	ng:	0.57	ced:	0.47	chardet:	0.02	icu:	0.03
et	windows-1257	win:	ced	ng:	0.76	ced:	0.89	chardet:	0.84	icu:	0.70
th	windows-874	win:	ced	ng:	0.95	ced:	0.96	chardet:	0.86	icu:	0.00
de	windows-1252	win:	chardet	ng:	0.98	ced:	0.95	chardet:	1.00	icu:	0.94
it	windows-1252	win:	chardet	ng:	0.88	ced:	0.88	chardet:	1.00	icu:	0.90
sv	windows-1252	win:	chardet	ng:	0.96	ced:	0.94	chardet:	1.00	icu:	0.92
pl	windows-1250	win:	ced	ng:	0.88	ced:	0.96	chardet:	0.26	icu:	0.65
ar	windows-1256	win:	ced	ng:	0.90	ced:	0.98	chardet:	0.01	icu:	0.41
bg	windows-1251	win:	ced	ng:	0.96	ced:	0.98	chardet:	0.77	icu:	0.43
ur	windows-1256	win:	ng	ng:	0.93	ced:	0.87	chardet:	0.00	icu:	0.13
es	windows-1252	win:	chardet	ng:	0.98	ced:	0.98	chardet:	1.00	icu:	0.96
fr	windows-1252	win:	chardet	ng:	0.92	ced:	0.91	chardet:	1.00	icu:	0.96
bg	KOI8-U	win:	ng	ng:	0.99	ced:	0.94	chardet:	0.97	icu:	0.38
ur	ISO-8859-6	win:	ng	ng:	0.86	ced:	0.33	chardet:	0.00	icu:	0.57
pl	ISO-8859-2	win:	ced	ng:	0.90	ced:	0.96	chardet:	0.23	icu:	0.64
ar	ISO-8859-6	win:	ng	ng:	0.91	ced:	0.57	chardet:	0.00	icu:	0.63
ca	windows-1252	win:	chardet	ng:	0.89	ced:	0.88	chardet:	1.00	icu:	0.92
pt	windows-1252	win:	chardet	ng:	0.96	ced:	0.97	chardet:	1.00	icu:	0.96
hu	windows-1250	win:	ced	ng:	0.89	ced:	0.96	chardet:	0.77	icu:	0.75
sr	IBM866	win:	ng	ng:	0.99	ced:	0.98	chardet:	0.93	icu:	0.00
uk	KOI8-U	win:	ng	ng:	0.99	ced:	0.80	chardet:	0.34	icu:	0.10
hu	ISO-8859-2	win:	ced	ng:	0.88	ced:	0.96	chardet:	0.76	icu:	0.74
sr	windows-1251	win:	ced	ng:	0.99	ced:	0.99	chardet:	0.87	icu:	0.34
cs	ISO-8859-2	win:	ng	ng:	0.87	ced:	0.80	chardet:	0.39	icu:	0.55
sh	windows-1250	win:	ng	ng:	0.96	ced:	0.93	chardet:	0.79	icu:	0.83
sr	KOI8-U	win:	ng	ng:	0.99	ced:	0.98	chardet:	0.99	icu:	0.26
ro	windows-1250	win:	ng	ng:	0.95	ced:	0.56	chardet:	0.31	icu:	0.55
ro	ISO-8859-2	win:	ng	ng:	0.95	ced:	0.55	chardet:	0.30	icu:	0.53
